timeElapsed,dayProgression,isPaused,onTrack,carID,currentGear,suggestedGear,throttle,brake,clutch,clutchEngagement,engineRPM,speedKMH,speedMPH,tyreTempFL,tyreTempFR,tyreTempRL,tyreTempRR,posX,posY,posZ,rotX,rotY,rotZ,worldVelocityX,worldVelocityY,worldVelocityZ,angularVelocityX,angularVelocityY,angularVelocityZ,roadPlaneX,roadPlaneY,roadPlaneZ,roadplaneDist,orientationRelativeToNorth,bestLap,totalLaps,lastLaptime,ongoingLap
41.914777994155884,63056.8,0,1,3531,3,2,100.0,0.0,0.0,1.0,6483.0,161.41357727050783,100.30060343170166,61.373138427734375,59.82049560546875,62.93795394897461,62.02095031738281,-277.11358642578125,13.167144775390625,210.34527587890625,-0.027203701436519623,-0.4319893419742584,0.01369875855743885,34.90633773803711,-1.966315746307373,-28.07368278503418,0.07545046508312225,-0.0388619601726532,-0.013167740777134895,0.005781436339020729,0.9980084896087646,-0.0628150999546051,1.7168445587158203,0.901364266872406,-1,0,-1,0:00:40.460946
41.93503403663635,63056.816,0,1,3531,3,2,100.0,0.0,0.0,1.0,6500.0,161.7094253540039,100.4844401435852,61.37207794189453,59.81944274902344,62.93876266479492,62.021697998046875,-276.5296630859375,13.134772300720215,209.8761749267578,-0.02684365212917328,-0.4321991503238678,0.013927421532571316,34.98495864868164,-1.9412682056427002,-28.109294891357422,0.04858763515949249,-0.03166526183485985,0.004507837817072868,0.005363684147596359,0.997940182685852,-0.06392763555049896,1.8349790573120117,0.9012710452079773,-1,0,-1,0:00:40.481144
41.94848585128784,63056.833,0,1,3531,3,2,100.0,0.0,0.0,1.0,6508.0,162.02985534667968,100.68355178070068,61.37101745605469,59.81838607788086,62.939605712890625,62.02278137207031,-275.9444274902344,13.103080749511719,209.40664672851562,-0.026896227151155472,-0.43236443400382996,0.014294950291514397,35.06686019897461,-1.9004454612731934,-28.151744842529297,0.011705443263053894,-0.023536894470453262,0.04121455177664757,0.0053592100739479065,0.9979504346847534,-0.06376679986715317,1.7987394332885742,0.9011843800544739,-1,0,-1,0:00:40.494652
41.964789152145386,63056.85,0,1,3531,3,2,100.0,0.0,0.0,1.0,6529.0,162.30936126708986,100.85723365402222,61.36995315551758,59.81733322143555,62.940406799316406,62.02326965332031,-275.3581848144531,13.0718355178833,208.9364471435547,-0.026939712464809418,-0.4325372874736786,0.0143359936773777,35.139427185058594,-1.8729270696640015,-28.187305450439453,-0.004343200009316206,-0.023411141708493233,0.0054220352321863174,0.004926661029458046,0.997981607913971,-0.06331264227628708,1.583261489868164,0.9010995626449585,-1,0,-1,0:00:40.510963
41.98059010505676,63056.866,0,1,3531,3,2,100.0,0.0,0.0,1.0,6557.0,162.56688079833984,101.01725342941285,61.36888885498047,59.8162841796875,62.9411735534668,62.02376937866211,-274.7708435058594,13.04079818725586,208.46566772460938,-0.026900116354227066,-0.4327372610569,0.014307670295238495,35.20795822143555,-1.8603637218475342,-28.21673011779785,0.0009246970294043422,-0.026053281500935555,-0.006542366463690996,0.00468919612467289,0.9980465173721313,-0.0622987300157547,1.3048410415649414,0.9010051488876343,-1,0,-1,0:00:40.526758
41.997523069381714,63056.883,0,1,3531,3,2,100.0,0.0,0.0,1.0,6582.0,162.83232421875002,101.18219702148438,61.36782455444336,59.81523132324219,62.9421501159668,62.02445602416992,-274.18231201171875,13.00993537902832,207.9941864013672,-0.02663867175579071,-0.43295183777809143,0.014062900096178055,35.278411865234375,-1.8494553565979004,-28.247793197631836,0.013461456634104252,-0.02873854711651802,-0.04152321815490723,0.004038164392113686,0.9980884790420532,-0.06166974455118179,0.9940414428710938,0.900913655757904,-1,0,-1,0:00:40.543684
42.01458501815796,63056.9,0,1,3531,3,2,100.0,0.0,0.0,1.0,6600.0,163.11143188476564,101.3556314239502,61.366756439208984,59.81418228149414,62.94316101074219,62.02544403076172,-273.5924377441406,12.97933578491211,207.52218627929688,-0.02632232755422592,-0.4331711530685425,0.014005642384290695,35.35292434692383,-1.8342599868774414,-28.27963638305664,0.029150646179914474,-0.02993413433432579,-0.02414405159652233,0.0032064560800790787,0.9981371760368347,-0.0609249547123909,0.6099729537963867,0.9008184671401978,-1,0,-1,0:00:40.560753
42.04034113883972,63056.916,0,1,3531,3,2,100.0,0.0,0.0,1.0,6612.0,163.40999908447267,101.54115776443481,61.36568832397461,59.813133239746094,62.94435501098633,62.02657699584961,-273.00115966796875,12.949322700500488,207.049560546875,-0.02589253894984722,-0.43338921666145325,0.014092588797211647,35.4328727722168,-1.7994805574417114,-28.315073013305664,0.04873776435852051,-0.03225162997841835,-0.014450272545218468,0.0030190926045179367,0.9982009530067444,-0.05988066643476486,0.34108924865722656,0.9007245898246765,-1,0,-1,0:00:40.586481
42.048084020614624,63056.933,0,1,3531,3,2,100.0,0.0,0.0,1.0,6620.0,163.71629791259767,101.73148845291138,61.36461639404297,59.812076568603516,62.94563674926758,62.027626037597656,-272.4085693359375,12.919715881347656,206.57618713378906,-0.025333255529403687,-0.43361666798591614,0.014003617689013481,35.51295852661133,-1.7748847007751465,-28.352643966674805,0.05366867780685425,-0.032125551253557205,-0.04019555822014809,0.0031304098665714264,0.9982684254646301,-0.05873860418796539,0.13439369201660156,0.9006325006484985,-1,0,-1,0:00:40.594262
42.0652379989624,63056.95,0,1,3531,3,2,100.0,0.0,0.0,1.0,6627.0,164.0209213256836,101.92077805709839,61.36354446411133,59.81101989746094,62.946903228759766,62.02863693237305,-271.8147277832031,12.890379905700684,206.1021270751953,-0.024728499352931976,-0.43382853269577026,0.013747045770287514,35.5936393737793,-1.7582660913467407,-28.388803482055664,0.04998047649860382,-0.03017009049654007,-0.0605170913040638,0.0031993240118026733,0.9982843995094299,-0.05846421420574188,0.09570693969726562,0.9005511403083801,-1,0,-1,0:00:40.611385
